Modelo 1,Modelo 2,Modelo 3,Modelo 4
-3125522.26940608,-2828629.02519411,-3078324.23909758,-3078203.63065151
-3124742.4404243,-2828633.54258738,-3078388.20134282,-3078239.73525205
-3124556.2097485,-2828618.75136766,-3077486.87794075,-3077980.4546892
-3125323.4518666,-2828624.47893044,-3077467.01746879,-3077941.93524078
-3125727.27132243,-2828621.50350154,-3078018.09701249,-3078471.55210188
-3124921.59624835,-2828630.93098892,-3077658.64857073,-3078320.2067589
-3125564.36010299,-2828622.83280356,-3077984.49497547,-3078147.65885655
-3125584.89460722,-2828630.81944217,-3077706.94412187,-3077170.97050401
-3126107.02009016,-2828626.79464432,-3077806.16910984,-3078105.99359306
-3125598.82743286,-2828638.05293443,-3077420.1895056,-3077834.16406649
-3125496.67529512,-2828626.54080215,-3077863.14025598,-3077863.9645917
-3125912.53418172,-2828623.29899378,-3077525.20733378,-3078437.38869346
-3125298.45295818,-2828632.67325824,-3076953.4072996,-3077253.39168886
-3125382.97538876,-2828629.19652638,-3077577.05341788,-3078487.95437367
-3124891.27156417,-2828620.30313533,-3076839.07092464,-3077199.91956324
-3124782.44716938,-2828635.65964975,-3077352.72279488,-3077322.41970604
-3125264.52398503,-2828623.07843991,-3077729.83033978,-3078206.26238234
-3125337.01926347,-2828626.0674261,-3077853.27633696,-3078100.6694112
-3125263.91709145,-2828622.93890857,-3077658.36374696,-3077641.85119895
-3125266.98941096,-2828629.25575248,-3077804.34428165,-3077833.22246983
-3125993.66706882,-2828625.1765659,-3077176.01043061,-3077232.11462086
-3124715.39148135,-2828624.28760314,-3077823.92484496,-3077986.1631681
-3125202.00199743,-2828622.27855213,-3077059.75530504,-3078125.7678612
-3125423.92123594,-2828625.09125851,-3077726.56545422,-3078170.51966118
-3125912.75814743,-2828626.22186206,-3078267.78261416,-3076830.10442692
-3125736.20416009,-2828624.31458674,-3077394.84458704,-3077155.34614703
-3125710.9985421,-2828627.46161545,-3077229.48722308,-3077961.57797335
-3125847.1626481,-2828629.72042821,-3076969.03066333,-3077486.43434065
-3124510.7975545,-2828625.09471684,-3078194.83044629,-3078139.77527255
-3125453.49107151,-2828624.24209455,-3078705.41726074,-3078114.66296553
-3125156.73287141,-2828627.86263058,-3078093.56062434,-3077340.20111312
-3125431.79418183,-2828629.06984403,-3077670.34296048,-3078056.09690677
-3125676.00053183,-2828628.63180131,-3077769.85962707,-3078377.33369106
-3125312.93569722,-2828622.28009203,-3078215.81038702,-3077933.31869295
-3125486.05185873,-2828631.07953943,-3077860.60484711,-3078269.73984977
-3124495.79859864,-2828632.88065961,-3078060.81901132,-3077714.27742434
-3125463.83934379,-2828632.63296844,-3077548.89815772,-3077687.45910869
-3124724.73238273,-2828634.61144139,-3078132.1740318,-3078214.92286362
-3125938.03182277,-2828624.48281287,-3077439.82910846,-3078689.75308463
-3125152.81259763,-2828628.13936937,-3078090.16503036,-3077611.09214686
-3125184.95733705,-2828627.40960617,-3077870.68060374,-3077353.49718798
-3125921.41068852,-2828626.60150777,-3077111.31827538,-3078512.61660125
-3125996.50947412,-2828622.62884086,-3077846.18495512,-3077242.79928175
-3123891.67238003,-2828632.75433672,-3077895.71141529,-3077487.46029062
-3125764.4216782,-2828628.6427336,-3078116.48867107,-3078117.53689442
-3125023.36873301,-2828618.80729717,-3078041.83273224,-3078336.7104178
-3125465.81193028,-2828623.72160899,-3077987.6917773,-3077855.27832745
-3125471.43822145,-2828626.99708085,-3077313.6330688,-3078242.24340888
-3125750.52214298,-2828635.30708407,-3077278.19102749,-3077316.22939017
-3125851.88626696,-2828620.06281771,-3077416.71284511,-3077334.26934305
-3125221.78591306,-2828637.67140012,-3078517.16795817,-3077636.57503367
-3124616.33982078,-2828638.55617037,-3077787.95888253,-3077692.71614755
-3125367.12965194,-2828621.54002632,-3078356.13160488,-3077996.20966863
-3125722.38336799,-2828629.34458243,-3077940.79971703,-3077654.08250757
-3124864.75201912,-2828636.08659285,-3077087.71320175,-3076677.82470168
-3125978.16637202,-2828635.58138695,-3077036.43088853,-3078288.33104159
-3125099.22153962,-2828627.79485155,-3077946.87422682,-3077036.16395958
