"","COLE_COD_MCPIO_UBICACION","media","ppp","No. Estudiantes"
"181",13655,207.392523364486,0.99402,107
"182",13657,228.933333333333,1,450
"183",13667,211.879464285714,0.99944,224
"184",13670,223.992727272727,0.99984,275
"185",13673,214.6875,0.99986,160
"186",13683,206.497142857143,0.99916,175
"187",13688,255.349333333333,0.71024,375
"188",13744,233.356164383562,0.9997,146
"189",13760,204.796460176991,0.9973,113
"190",13780,208.676136363636,0.99902,176
"191",13810,207.652694610778,0.99768,167
"192",13836,253.237201365188,1,1172
"193",13838,212.834285714286,0.99984,175
"194",13873,208.609589041096,0.99976,292
"195",13894,207.162011173184,0.9998,179
"196",15001,287.017716535433,0.00018,2540
"197",15022,251,0.3615,11
"198",15047,242.295454545455,0.06752,132
"199",15051,252.403225806452,0.92054,62
"200",15087,253.347826086957,0.9025,92
"201",15090,273.347826086957,0.48064,23
"202",15092,267.375,0.86052,16
"203",15097,264.56,0.0089,50
"204",15104,253.096153846154,0.95836,52
"205",15106,265.466666666667,0.6097,15
"206",15109,262.761194029851,0.71568,67
"207",15114,254.285714285714,0.8609,7
"208",15131,254.805555555556,0.19254,36
"209",15135,254.384615384615,0.36654,26
"210",15162,272.972222222222,0.05036,36
"211",15172,254.133333333333,0.79888,30
"212",15176,265.604733727811,0.86558,845
"213",15180,251.928571428571,0.81792,28
"214",15183,232.102564102564,0.99602,117
"215",15185,240.155172413793,0.99484,58
"216",15187,256.789473684211,0.53994,19
"217",15189,264.468085106383,0.44632,47
"218",15204,268.114583333333,0.97456,96
"219",15212,249.153846153846,0.71478,26
"220",15215,271.04347826087,0.8847,23
"221",15218,252.928571428571,0.27432,28
"222",15223,247.571428571429,0.99452,49
"223",15224,251.4375,0.7311,64
"224",15226,256.473684210526,0.22664,19
"225",15232,229.846153846154,0.04872,39
"226",15236,242.863636363636,0.44978,22
"227",15238,281.993258426966,0.00274,1780
"228",15244,258.782608695652,0.57058,46
"229",15248,263.310344827586,0.72846,29
"230",15272,264.393442622951,0.0298,61
"231",15276,263.1875,0.77668,32
"232",15293,224.268292682927,0.95504,41
"233",15296,243.954545454545,0.88224,44
"234",15299,264.252873563218,0.45066,174
"235",15317,272.095238095238,0.07216,21
"236",15322,255.444444444444,0.27044,108
"237",15325,259.34375,0.42984,32
"238",15332,248.875,0.0509,48
"239",15362,275.966666666667,0.82652,30
"240",15367,258.191780821918,0.5985,73
"241",15368,257.688888888889,0.70816,45
"242",15377,252.695652173913,0.23558,23
"243",15380,259.3,0.33858,30
"244",15401,238,0.04064,8
"245",15403,268.416666666667,0.98342,24
"246",15407,274.058823529412,0.24538,187
"247",15425,248.756756756757,0.01494,37
"248",15442,244.35,0.87304,60
"249",15455,273.569620253165,0.04364,79
"250",15464,239.7,0.4436,40
"251",15466,235.558139534884,0.68706,43
"252",15469,258.790598290598,0.1502,234
"253",15476,244.027027027027,0.54312,37
"254",15480,246.848837209302,0.78524,86
"255",15491,282.948275862069,0.1162,174
"256",15494,248.392156862745,0.19514,51
"257",15500,287.666666666667,0.29542,27
"258",15507,234.873786407767,0.9904,103
"259",15511,249.823529411765,0.16246,17
"260",15514,262.3,0.94248,30
"261",15516,295.593052109181,6e-05,403
"262",15518,267.588235294118,0.84666,17
"263",15522,241.230769230769,0.80072,26
"264",15531,239.989010989011,0.99828,91
"265",15533,238.548387096774,0.4629,31
"266",15537,258.651162790698,0.9571,43
"267",15542,247.907407407407,0.18594,54
"268",15550,256.5,0.82592,10
"269",15572,239.600346020761,1,578
"270",15580,241.285714285714,0.96728,63
"271",15599,252.520325203252,0.99574,123
"272",15600,248,0.42336,54
"273",15621,271.181818181818,0.67422,22
"274",15632,248.245033112583,0.95546,151
"275",15638,242.411764705882,0.53418,51
"276",15646,265.748917748918,0.99934,231
"277",15660,285.75,0.3383,12
"278",15664,264.205128205128,0.99032,39
"279",15667,256.613636363636,0.86858,44
"280",15673,262.41935483871,0.3546,31
"281",15676,241.875,0.16914,48
"282",15681,235.289855072464,0.72256,69
"283",15686,242.585714285714,0.95384,70
"284",15690,272.375,0.92552,16
"285",15693,282.163043478261,0.52228,92
"286",15696,244.318181818182,0.33996,22
"287",15720,238.777777777778,0.7613,27
"288",15723,254.222222222222,0.43584,18
"289",15740,246.449438202247,0.9528,89
"290",15753,267.533333333333,0.9972,105
"291",15755,259.173913043478,0.7928,69
"292",15757,255.558139534884,0.84294,86
"293",15759,279.900388726919,8e-05,2058
"294",15761,249.52380952381,0.13236,42
"295",15762,252.239130434783,0.9963,46
"296",15763,251.768115942029,0.67076,69
"297",15764,276.606060606061,0.39884,132
"298",15774,243.380952380952,0.92658,21
"299",15776,251.14,0.288,50
"300",15778,247.742857142857,0.8582,35
"301",15790,253.75,0.53086,64
"302",15798,273.25,0.0542,40
"303",15804,248.071428571429,0.9984,98
"304",15806,274.948453608247,0.0223,97
